,Year,Publisher,Citation Sum
181,2005.0,koreascience.or.kr,19
182,2005.0,manu56.magtech.com.cn,16
183,2005.0,osapublishing.org,422
184,2005.0,pdfs.semanticscholar.org,115
185,2005.0,spiedigitallibrary.org,44
186,2006.0,ACS Publications,3604
187,2006.0,Citeseer,27
188,2006.0,Elsevier,22727
189,2006.0,Google Patents,1120
190,2006.0,SciELO Brasil,196
191,2006.0,Springer,124
192,2006.0,Taylor & Francis,12
193,2006.0,Trans Tech Publ,138
194,2006.0,Wiley Online Library,1912
195,2006.0,aip.scitation.org,8
196,2006.0,airitilibrary.com,9
197,2006.0,cambridge.org,1
198,2006.0,cheric.org,102
199,2006.0,electrochem.xmu.edu.cn,25
200,2006.0,electrochemsci.org,35
201,2006.0,en.cnki.com.cn,12
202,2006.0,etda.libraries.psu.edu,42
203,2006.0,ieeexplore.ieee.org,3645
204,2006.0,ingentaconnect.com,145
205,2006.0,iopscience.iop.org,4161
206,2006.0,koreascience.or.kr,0
207,2006.0,large.stanford.edu,125
208,2006.0,nature.com,2079
209,2006.0,osapublishing.org,256
210,2006.0,papersearch.net,0
211,2006.0,pubs.rsc.org,144
212,2006.0,researchgate.net,218
213,2006.0,science.sciencemag.org,1930
214,2006.0,search.ieice.org,52
215,2006.0,thejns.org,48
216,2006.0,ui.adsabs.harvard.edu,14
217,2007.0,ACS Publications,1762
218,2007.0,Citeseer,0
219,2007.0,Elsevier,20081
220,2007.0,Google Patents,815
221,2007.0,Soc Nuclear Med,1
222,2007.0,Springer,117
223,2007.0,Taylor & Francis,37
224,2007.0,Trans Tech Publ,31
225,2007.0,Wiley Online Library,5817
226,2007.0,academia.edu,0
227,2007.0,dbpia.co.kr,53
228,2007.0,en.cnki.com.cn,6
229,2007.0,ieeexplore.ieee.org,1817
230,2007.0,iopscience.iop.org,4660
231,2007.0,journals.physiology.org,67
232,2007.0,jstage.jst.go.jp,58
233,2007.0,kmbase.medric.or.kr,5
234,2007.0,koreascience.or.kr,0
235,2007.0,manu56.magtech.com.cn,16
236,2007.0,nature.com,144
237,2007.0,ncbi.nlm.nih.gov,127
238,2007.0,pubs.rsc.org,2012
239,2007.0,researchgate.net,126
240,2007.0,synapse.koreamed.org,11
241,2008.0,ACS Publications,9953
242,2008.0,Elsevier,13985
243,2008.0,Google Patents,722
244,2008.0,SciELO Brasil,25
245,2008.0,Springer,753
246,2008.0,Wiley Online Library,6746
247,2008.0,aip.scitation.org,496
248,2008.0,apps.dtic.mil,28
249,2008.0,asmedigitalcollection.asme.org,19
250,2008.0,books.google.com,1569
251,2008.0,cambridge.org,612
252,2008.0,cds.cern.ch,20
253,2008.0,degruyter.com,43
254,2008.0,en.cnki.com.cn,6
255,2008.0,go.gale.com,291
256,2008.0,ieeexplore.ieee.org,1883
257,2008.0,iopscience.iop.org,3721
258,2008.0,jstage.jst.go.jp,30
259,2008.0,karger.com,21
260,2008.0,koreascience.or.kr,7
261,2008.0,magonlinelibrary.com,63
262,2008.0,mail.lancaironline.net,42
263,2008.0,nanoscalereslett.springeropen.com,65
264,2008.0,nature.com,12968
265,2008.0,osapublishing.org,114
266,2008.0,pubs.rsc.org,890
267,2008.0,researchgate.net,372
268,2008.0,revistas.usp.br,5
269,2008.0,sae.org,10
270,2008.0,scielo.conicyt.cl,0
271,2008.0,synapse.koreamed.org,7
272,2008.0,ui.adsabs.harvard.edu,1
273,2009.0,ACS Publications,5761
274,2009.0,Elsevier,8419
275,2009.0,Google Patents,240
276,2009.0,Springer,931
277,2009.0,Trans Tech Publ,47
278,2009.0,Wiley Online Library,1986
279,2009.0,aip.scitation.org,301
280,2009.0,ieeexplore.ieee.org,897
281,2009.0,iopscience.iop.org,1666
282,2009.0,pubs.rsc.org,1763
283,2009.0,science.sciencemag.org,734
