Year,Sales
1997,0
1998,0
1999,17
2000,9350
2001,20282
2002,36042
2003,47566
2004,84233
2005,205876
2006,251864
2007,351071
2008,315763
2009,290273
2010,274648
2011,284264
2012,487819
2013,592637
2014,571054
2015,498423
2016,506565
2017,558449
2018,704534
2019,727390
